主题,赞成数,反对数,留言数,持续时长
投诉西地省高速收费员不熟悉政策，乱收费,1,0,5,105.0
关于A7县坤兆星悦荟办理栋证及房产证诉求,0,0,5,105.0
A3区可可小城小区晚上停水持续几个月了,1,0,7,85.0
A市一中双语实验学校周末强制有偿补课,0,0,9,65.0
A7县北山镇石常粮店通往福高镇的主路，路面情况极差无人修整,3,0,3,124.0
A市红星农博小区水改之后经常没通知就停水,1,0,6,94.0
A市润屋美院小区四栋入户野蛮施工野蛮，打墙建立商户门面排烟管道,0,0,2,133.0
A2区明德启南中学克扣教师绩效奖金,0,0,2,133.0
A5区万坤图大厦2栋部分经营者无照经营餐饮业，且严重侵害业主权益,1,0,3,123.0
A3区金麓小区丧事扰民何时休,2,0,9,62.0
问问A市经开区东四线以西、新安路以南的规划,21,0,15,1
投诉A2区柠檬丽都小区支取维修资金,0,0,4,111.0
希望A市805路车改道走木莲中路,0,0,10,51.0
请A市加快陵王公园周边整治刻不容缓,8,0,15,1
A市高岭商贸城在销售商铺时涉嫌虚假宣传致市场冷清,4,0,15,1
反映A7县跨三一大道人行天桥选址问题,3,0,15,1
请A市加快智能制造业招商引资步伐,2,0,15,1
A7县北山镇荣合桥社区村民出行困难，请求解决！,1,0,15,1
恳请增加A市火车站到星沙的夜间公交车,1,0,15,1
A市洪山公园什么时候会动工？,1,0,15,1
A市丽发新城2期和3期中间的道路什么时候可以修好,1,0,15,1
请关心A4区湖畔水映两小区小孩的教育问题,1,0,4,110.0
A3区麓谷一师范安置小区抽烟机影响居民生活睡眠,0,0,15,1
反映A7县旺德府凯悦国际房屋质量问题多，物业不管不问,0,0,15,1
请关注A市富瑞星座小区房屋质量问题,0,0,15,1
咨询A4区洪山公园建设问题,0,0,15,1
A市仁和会计培训机构不退费给消费者,0,0,15,1
西地省聚利人普惠投资有限公司涉嫌诈骗巨额资金,0,0,15,1
建议调整A5区新华都学校西南角红绿灯设置,0,0,15,1
西地省财政经济学院校园宽带被垄断,0,0,15,1
A1区马王堆扰民现象还是存在,0,0,15,1
A市人民路地质家园二期项目为何拖欠农民工工资至今未清,0,0,15,1
A2区暮云街道西湖小区村委会对小区垃圾不处置,0,0,15,1
A3区天麓尚层小区附近雷峰大道上夜间渣土车扰民,0,0,15,1
A市涉外经济学院强制学生实习,0,0,15,1
A市107国道东八线货车噪音扰民！,0,0,15,1
请问A市人才新政落户人员的档案如何管理？,0,0,15,1
A4区金鹰小学附近噪音扰民影响上课,0,0,15,1
A7县星沙文化公园东南门附近广场舞影响附近居民生活,0,0,15,1
A3区楷林国际光污染严重,1,0,7,80.0
A市象嘴路学士路口站公交站台标识破损严重,5,0,5,99.0
A市才子佳郡西侧外墙有人随意倾倒垃圾,0,0,4,109.0
对A市公交车番号的建议,1,0,7,79.0
A7县泉塘街道丁家岭高层公寓通联信号差,11,2,2,128.0
请问A4区公安派出所对58车货一案办案的进度如何了,8,1,3,118.0
A1区东方新城小区E6栋2单元有人违规停放电动车,0,0,2,128.0
希望A4区清水塘辰北小学提供中餐，准点放学,0,0,2,127.0
咨询A4区楚雅路过江隧道问题,1,0,7,77.0
A1区A2区华庭地下车库要变成垃圾场了,1,0,11,37.0
2019年A3区事业单位招聘为何要求本科生年龄要在28岁以下？,2,0,3,115.0
反映A9市集里街道办唐家园村新桥组的液化汽检测厂排放废气问题,0,0,3,115.0
A市星沙城区旧城区棚户改造项目范围是什么？,1,0,4,105.0
A市恒大文化旅游城违规收取公摊面积精装费、冒名领取业主恒房通房款返点,0,0,4,105.0
A市金桥互通的ETC通道为何经常识别失败？,1,0,5,95.0
对A市A1区南路快速化改造工程的意见,0,0,9,55.0
A3区梅溪湖壹号御湾业主用水难,0,0,14,5.0
A8县市流沙河镇大田方村农田直补等诸多问题（续）,0,0,3,114.0
A7县锦璨家园和广泰家园垃圾站距离太近,0,0,7,74.0
请A3区分局依法查明核实潘某涉嫌寻衅滋事案，还民公正,1,0,3,113.0
请A市有关部门检查非法营运的大巴车,1,0,4,103.0
A7县星沙一桥从早堵到晚不见整改,8,1,4,102.0
乱贴牛皮癣，A市小广告的问题要政府部门好好整治一下,4,0,2,122.0
A市人才认证租房补贴通过名单在哪里查看？,0,0,14,3.0
A市广济桥步步高超市前电动车占道问题严重,0,0,3,112.0
投诉A市A6区贵之步大地艺术培训学校拒退费,1,0,8,62.0
问问A市经开区东六线以西泉塘昌和商业中心以南的有关规划,29,0,14,1
请合理调整A7县东三路开元路口的红绿灯时间,5,0,13,12.0
西地省财政经济学院涉嫌宽带垄断,4,0,13,12.0
问问A市经开区东六线以西泉塘昌和商业中心以南的有关规划,24,0,14,1
A市理工大学金盆岭校区学生抗议换寝室,1,3,5,91.0
A市梅溪湖梅岭公园破落不堪，谁来负责管理？,9,0,14,1
A7县楚龙西路何时才能打通,8,0,14,1
何时发布2019年A7县普惠性幼儿园清单及收费标准,6,0,14,1
希望A市地铁3号线松雅西地省站能靠近松雅湖正门的出入口,5,1,14,1
A市长房云时代配套幼儿园无视政策精神，开办盈利性幼儿园,4,0,14,1
A1区长郡A1区实验中学成绩一般的孩子不能去补课？,3,3,14,1
反映A7县农民土地的征收问题,2,0,14,1
A3区梅溪湖看云路一师润芳园小区临街门面烧烤夜宵摊,2,0,14,1
A市玖珑山名苑房屋有严重的质量问题,1,0,14,1
A市南山十里天池存在严重质量问题，开发商物业不闻不问,1,0,14,1
西地省九九富达实业发展集团涉嫌诈骗,1,0,14,1
A7县东六路海德公园附近晚上太吵了！,1,0,14,1
A7县星沙恒大翡翠华庭小区内幼儿园收费是否合理？,0,0,14,1
西地省直公积金管理中心不给开具“异地贷款使用证明”,0,0,14,1
请A市加快世界旅游度假区发展步伐,0,0,14,1
A7县星沙四区凉塘路的旧城改造要拖到何时？,0,0,14,1
投诉A3区长郡梅溪湖中学附近工地扰民,0,0,14,1
投诉A市A1区苑物业违规收停车费,0,0,14,1
反映A市山水湾孩子上学问题,0,0,14,1
A3区咸嘉新村房子严重漏水,0,0,14,1
希望提高A市的规划建设水平,0,0,14,1
期待A市解决换工作导致公积金断缴不能贷款的问题,0,0,14,1
A2区保利花园三期房屋外墙渗水严重,0,0,14,1
请问A市70路公交车何时才能正式调整线路？,0,0,14,1
A市嘉顺苑小区怎么经常无故停水,0,0,14,1
A3区枫林美景小区车库做门面扰民,0,0,14,1
A2区竹塘西路—新姚路施工项目夜间严重扰民,0,0,14,1
A7县星沙商业乐园c栋餐饮机构无专业油烟管道和餐饮执照,0,0,14,1
咨询A市军转安置问题,0,0,14,1
请求A市政府尽快派人帮助我解决房屋拆迁等问题,0,0,14,1
投诉A8县市中梁首府开发商偷工减料,0,0,14,1
反映A市汽车西站管理乱象,0,0,14,1
A市巴辛国际早教迟迟不给员工缴纳社保费用,0,0,14,1
西地省A市蜂投网涉嫌诈骗,0,0,14,1
A3区麓云路车辆违停现象严重,0,0,14,1
咨询A市转业士官异地安置问题,0,0,14,1
A7县时代星城4幢有非法经营的家庭旅馆,5,0,7,70.0
西地省师大附中的校园喇叭太扰民了,0,1,11,30.0
A2区坡子街道楚楚社区的屋顶工程防水不到位,0,0,3,109.0
投诉西地省儿童医院8日凌晨急诊科3号4号诊室值班医生,0,2,3,109.0
西地省商学院南门至咸嘉湖路中间的望新路长期违停车辆较多，经常造成交通堵塞,0,0,5,89.0
投诉滨河苑针对广铁职工购房的霸王规定,9,2,12,19.0
建议和包支付整合楚行一卡通和A市地铁app,5,0,5,88.0
希望西地省把抗癌药品纳入医保范围,1,0,5,88.0
A2区青园派出所办理无犯罪证明困难,2,0,8,58.0
A市城管人员在执法过程中对待群众言语粗暴、态度恶劣,0,0,3,107.0
A5区黎托村60号令老安置小区和粟塘小区小孩读书不方便,2,1,5,87.0
A市电建星湖湾强制要求业主收房,0,0,8,57.0
A7县黄花镇合心村将灌溉山林用的水塘用来堆土,0,1,2,116.0
请A5区修建枫树山南屏锦源小学的林高路,0,0,4,96.0
A1区征收工作人员弄虚作假使我失去选择产权置换的权利,6,0,2,115.0
A3区高鑫麓城12栋住户打架子鼓夜晚扰民,0,0,4,95.0
A8县市未来方舟还是迟迟不退认筹金,0,0,5,85.0
A1区新桥小区杂物做饭何时休,0,0,6,75.0
A3区观沙岭岳北安置区的露天菜市场阻塞消防通道,1,0,9,45.0
A市洋华机电设备制造公司拖欠小微商户货款,0,0,3,104.0
建议A6区建旅游区,0,0,4,94.0
A市A1区浏城桥噪音污染，请求设置隔音屏障,0,0,4,93.0
A市人华影视孵化器有限公司老板拖欠职工工资,2,0,2,112.0
关于A7县R区地坪提质改造管理，请求政府加速实施的请示,0,0,4,92.0
A市锦楚国际新城从6月份开始停电好多次了,0,0,6,72.0
A7县松雅湖二小东门有交通安全隐患,14,1,5,81.0
A市A3区兰亭湾畔小区违规开餐饮,1,0,13,2.0
A市A6区交通管理所非法扣车,1,0,2,111.0
A市6路公交车随意变道通行,0,0,4,91.0
A1区马坡岭街道居民区附近怎么能建大型变电站？,19,0,5,80.0
A4区洪山公园规划了十几年了，到底什么时候开工建设？,11,0,13,1
A市五矿万境K9县房子的墙壁又开裂了,6,0,13,1
2019年开始民办学校招生微机派位，A7县如何同步参加？,25,1,2,109.0
A7县星沙四区凉塘路旧城改造要待何时,4,1,13,1
对A市最新公积金政策的疑问及建议,3,0,13,1
请问A7县中茂城商圈规划在哪个位置,3,0,13,1
A3区江山帝景开发商拒不承担因房屋质量导致住户损失的责任,3,0,13,1
咨询A市轨道交通7号线站点设置问题,2,0,13,1
加快A市创建国际儿童友好城市刻不容缓,2,0,13,1
A5区劳动东路新城新世界开发商违规建卫生服务站,1,0,13,1
在A市江山帝景买房遇到消费陷阱,1,0,13,1
A5区井湾子木莲中路“曙光南路”周边环境改善的建议,1,0,13,1
长A5区梓园路紫金苑西面临街门面油烟污染严重,1,0,13,1
A市涉外经济学院组织学生外出打工合理吗？,1,0,13,1
A市高新区白马学校收费贵,1,3,13,1
A市旅游及相关行业发展信息的咨询,0,0,13,1
A7县家和院小区存在火灾隐患,0,0,13,1
A1区马王堆街道新桥新村社区居民房屋被淹,0,0,13,1
反映A市北辰三角洲入户楼道设计不合理的问题,0,0,13,1
A市新华联涉嫌虚假广告欺诈销售,0,0,13,1
A市地铁第四轮应考虑包含8到10号线,0,0,13,1
我在A市的养老保险半年一交，为什么没有购房资格？,0,0,13,1
盼增加几趟A市207路公交车,0,0,13,1
A市“2018年第五批公交线路调整方案”什么时候能执行调整到位,0,0,13,1
给A7县星沙部分路口信号灯的建议,0,0,13,1
A市扬帆夜市消防通道存在安全隐患问题,0,0,13,1
投诉A3区第三幼儿园违规招生,0,0,13,1
A7县一中收费补课,0,2,13,1
咨询A7县北横线拆迁标准,0,0,13,1
A市2018年度出租车燃油补贴什么时候发,0,0,13,1
A3区金南家园二期旁边工地噪音扰民,0,0,13,1
咨询A市小孩转学的问题,0,0,13,1
对A市参保记录的几点疑问,0,0,13,1
询问A市户口迁移落户的相关问题,0,0,13,1
A1区远大路红旗路口到A7县东四路口段归谁?,0,0,13,1
A市盈信资金盘和富达资金盘无法提现，诈骗百姓,0,0,13,1
请解决A4区凯乐国际城周边太平路的路灯问题,0,0,13,1
A7县深业睿城幼儿园迟迟不开园,0,0,13,1
被A3区阿普阿布小区开发商坑害，购房多年现无购房资格,0,0,13,1
A7县樃梨领东汇小区非法住改商麻将馆噪音很大！,0,0,13,1
投诉A市恒泰楚壹府房屋有重大质量问题,0,0,13,1
咨询A7县北横线拆迁标准,0,0,13,1
西地省惠普利聚人投资有限公司涉嫌诈骗巨额资金,0,2,13,1
A7县黄兴镇无证培训机构比比皆是，该由谁来管？,0,1,13,1
咨询士官异地安置到A市工作条件,0,0,13,1
A3区金星路地铁站旁楼盘工地整夜施工扰民,0,0,13,1
A市高新区金领公寓最近经常停水,0,0,13,1
A市聚汇企信息科技有限公司涉嫌诈骗,0,0,13,1
咨询退伍兵转业异地安置入户A市的问题,0,0,13,1
A3区咸嘉新村悦峰园人防工程改建菜市场，堵住近千户住户“救命路”,1,0,3,100.0
A市南站安排无证学生进行安检工作,0,0,3,100.0
A市418线路经常20-30分钟不发车,0,0,7,60.0
A7县东六路附近的空地做什么用途？,1,0,12,10.0
为什么A7县没有到达影珠山的公交车,2,0,2,109.0
在A市打工人士想知道居住证如何申请延期,0,0,2,109.0
反对在A3区联江路与连塘路交叉口建垃圾场,0,0,3,99.0
M市的救护车为何长期盘踞于A市多家医院？,0,0,2,108.0
A市火车南站东广场公交站怎么能不设置遮阳遮雨棚呢？,0,0,5,78.0
A3区洋湖街道白鹭社区便民服务不便民,0,0,7,58.0
A3区望月湖小区一空调水处理设备制造噪音,5,0,5,77.0
请取缔A市望岳公园北门门口非法菜市场,1,0,5,77.0
投诉A4区发旺食品有限公司拖欠工资,0,0,11,17.0
咨询A市小学生转学问题,1,0,5,76.0
A市愿景山水印象的房屋质量问题太大了,0,0,7,56.0
A市长郡A4区中学何时开建,2,0,9,36.0
A市龙湖新壹城无故拖延客户的诚意金,1,0,2,105.0
A7县泉塘中国铁建国际城二期30栋有违章建筑,4,0,5,75.0
A4区秀峰街道1094围墙外渣土车日夜运渣土填农田，严重扰民,5,0,9,35.0
A4区A9市河路口地金园小区前坪的健身舞蹈噪音很吵,0,0,8,45.0
A7县望仙路两旁梧桐树春夏之交飘絮扰民,8,0,3,94.0
关于A6区月亮岛路沿线架设110kv高压线杆的投诉,78,0,12,1
在A7县星沙水痘疫苗及腮腺炎疫苗是入学必须补种的吗？,0,0,3,94.0
请履行承诺把申请的A市A1区廉租房退还给我,0,0,4,84.0
A市超标电动车可以上临时牌吗？,0,0,5,74.0
反映A7县长龙街道楚峰村村级道路建设的问题,4,0,3,93.0
西地省58车贷案件创造全国典型诈骗案，立案至今无公告,28,0,10,22.0
A7县楚龙街道楚瑞家园小区白蚁防治治标不治本,0,0,5,73.0
A7县北山镇新中村小二类书库养鱼，侵害村民利益十余年,2,0,5,71.0
希望能将A5区跳马镇纳入地铁规划,13,0,12,1
A市辛巴国际早教中心退钱不爽快,0,0,5,71.0
A7县星沙凉塘路旧城改造究竟要拖到何年何月才能开始？,6,0,12,1
A7县星沙中贸城还没有退购房资金,4,0,12,1
A市出租车2017年燃油补贴什么时候发放,2,0,12,1
A市普通话考试报名难,2,0,12,1
对A市罐子岭地铁站公交和停车的建议,2,0,12,1
A7县江背镇农村集体经济组织成员资格是怎么界定的,2,0,12,1
A5区五矿万境K9县的开发商与施工方建房存在质量问题,2,0,12,1
建议在A市人民东路红旗路路口新建立交桥,2,0,12,1
A3区星蓝湾小区第二界业委会违规举报,1,1,12,1
A7县星沙街道吾悦广场商演噪音扰民,1,0,12,1
建议A市地铁7号线在远大路A9市河大桥两岸设站,1,0,12,1
A2区银杏嘉园小区9栋下面的食在我家饭店油烟扰民,1,0,12,1
A3区裕民小区夜宵扰民，占用公共车位以及公共面积,0,0,12,1
请A市加快自来水深度净化改造力度,0,0,12,1
反映A7县星沙一区14栋旧城改造之痛,0,0,12,1
A2区五矿紫湖香醍为何经常停水,0,0,12,1
咨询A6区2019年度士官转业安置岗位问题,0,0,12,1
A6区紫鑫御湖湾一号房屋有质量问题,0,0,12,1
对A2区金线街提质改造工程的一点意见,0,0,12,1
A5区地质中学附近拥堵问题很严重,0,0,12,1
请A7县领导重视松雅安置小区夜宵店扰民问题,0,0,12,1
A3区江山帝景小区雅典五期912公交车停靠站何时能恢复,0,0,12,1
对A市公交线路的建议,0,0,12,1
A7县黄星大道和开元路限制货车通行,0,0,12,1
A5区长房半岛蓝湾用水问题还没解决,0,0,12,1
西地省工商大学荷塘小区34栋快递点影响居民生活,0,0,12,1
A3区咸嘉湖西路车辆违停及占道经营乱象为何久治无效,0,0,12,1
恳请A7县增加一条泉塘直达汽车南站的公交车,0,0,12,1
投诉A市先锋新宇物业违规收取停车费,0,0,12,1
给A市公交线路的建议,0,0,12,1
A3区德润园小区的餐饮店油烟扰民,0,0,12,1
请求解决A7县唐田新村道路硬化的问题,0,0,12,1
请加快提高A市民营幼儿园老师的待遇,0,0,12,1
A市205路公交车经常不按时发车,0,0,12,1
A3区枫林三路凌晨一点拖土车扰民,0,0,12,1
A市恒大御景天下房屋漏水车库渗水等，业主苦不堪言,0,0,12,1
A市高铁南站中午没人办理临时身份证,0,0,12,1
A市2017年出租车燃油补贴为何还没有发放,0,0,12,1
请求解决A7县荣盛花语城附近的噪音问题,0,1,12,1
A市水岸天际小区附近施工扰民,0,0,12,1
A市魏家坡小区脏乱差,0,0,12,1
A7县樃梨领东汇小区一住改商麻将馆扰民,0,0,12,1
A市公交公司的清扫令人寒心,0,0,4,80.0
关于A7县湖滨路以南特立路以北多个空地规划的咨询,6,1,6,58.0
A市宴家塘市场店外经营现象严重,0,0,4,78.0
建议A市808公交车按原线路行车,1,0,6,58.0
长株潭城际铁路运营之殇,2,0,7,48.0
A9市金刚镇挖埋污水管道，导致我家住房成危房,2,0,3,86.0
A7县榔梨街道大元社区居民入室行凶，迟迟得不到处置,0,0,6,56.0
再次反映A5区A5区亭办事处自然村村民房屋存在安全隐患,0,0,6,56.0
对西地省高速建设开发总公司工资制度的质疑,18,0,3,84.0
A5区绿地之窗小区房屋主体结构质量不过关,21,0,5,64.0
A市A6区中粮鸿云小区10-13栋03.06户型入户门被遮挡,0,0,6,54.0
请问需要哪些证件才有资格去A市高校当军训教官？,0,0,3,83.0
A7县女子外嫁后户口还能迁回原村吗？,0,0,4,73.0
A1区东成大厦业主委员会申请行政复议,0,0,5,63.0
A1区老地方美食广场没有消防证却能正常营业,0,0,11,3.0
希望A市地铁四号线北延线“同心路站”设在雷峰大道上,38,0,11,1
A市交警推出的12123app不实用,0,0,2,92.0
A市黄兴北路拆迁户的补偿金在何方？,0,0,5,62.0
A市井湾子山水庭院小区路面破损无人修,25,0,3,80.0
请问A市地铁有禁止饮食的明文规定吗？,1,1,3,81.0
A7县A1区国里楼盘烂尾7年还未交房！,10,0,11,1
A7县一中竟无视教育局规定强制收费补课！,6,2,11,1
询问A7县圣力华苑车位的问题,4,0,11,1
建议A市统一规范建设市公交站房,3,0,11,1
投诉A7县星湖湾二期洋房黑心开发商,3,2,11,1
西地省金融中心的楚江基金小镇能否对外开放？,2,4,11,1
A市中海国际社区三期北门前那条路大晚上的施工作业，太吵了！,2,0,11,1
A市民可以在网上办理无犯罪记录证明吗？,2,0,11,1
反映A7县星沙M9县城二期停车问题,1,3,11,1
A7县黄兴大道大货车来往噪音很吵,1,0,11,1
西地省利聚人普惠投资有限公司涉嫌诈骗巨额资金,1,0,11,1
请问A7县星沙凉塘路的旧城改造要拖到何时何月何时才能再次启动？,1,0,11,1
老百姓不满意A市相关部门对“辉煌国际城二期问题”的回复,1,0,11,1
A市金科界世城物业在产权不明的情况下收取高额停车费,1,0,11,1
A7县灰埠小区流动摊贩占道经营，且深夜扰民,1,0,11,1
建议调整A市西二环往王家湾方向的公交站站点设置,0,0,11,1
A市愿景山水印象小区房子外墙渗水，墙面开裂,0,0,11,1
A3区西湖街道茶场村五组不属于拆迁部分的村民该何去何从,0,0,11,1
说说A4区凯乐国际城小区周边安全隐患问题,0,0,11,1
反映A5区广益中学门口摊贩问题,0,0,11,1
A1区万科金域蓝湾小区三期北门一家茶馆的招牌灯光太刺眼,0,0,11,1
A3区杜鹃路的奥克斯缔壹城二期的安全隐患盼重视,0,3,11,1
A1区雍景园小区内的麻将馆严重扰民,0,0,11,1
A市长郡双语至解放西路能够增加公交车线路吗？,0,0,11,1
建议A市经开区双休日和寒暑假开放A7县泉星小学田径场,0,0,11,1
A市绿地城际空间站建筑质量堪忧,0,0,11,1
A2区新天村福满新城二期施工噪音严重扰民,0,0,11,1
A市辉煌国际城居民楼下开饭店，到底是哪些部门失职？,0,0,11,1
A市万润滨江天著精装修明细何时公示,0,0,11,1
A2区银桂苑小区西侧工地严重扰民,0,0,11,1
反映A7县国防科大征地拆迁问题,0,0,11,1
A7县204路公交车下班高峰期不发车,0,0,11,1
A市江山帝景哈佛4期物业严重过失导致业主财产重大损失,0,0,11,1
对A市城市轨道交通的一点建议,0,0,11,1
投诉A1区非法进行棚改,0,0,11,1
长房云时代二期房子出现很多严重的质量问题,0,0,11,1
A市普遍小学生春游费用高，且费用不透明,0,0,11,1
A7县红树湾小区安全隐患丛生,0,0,11,1
咨询A7县子女抚养权及户口问题,0,0,11,1
咨询A8县市直饮水工程的相关情况,0,0,11,1
A市的全装修核价最晚什么时候能出来？,0,0,11,1
A2区银杏嘉园小区4台电梯故障频发,0,1,11,1
希望A市能下大力气整治交通乱象行为！,0,0,11,1
A市万科魅力之城商铺无排烟管道，小区内到处油烟味,0,0,11,1
A4区楚雅路凯达园晚上施工噪音扰民,0,0,11,1
A2区南托街道南托岭社区KTV噪音扰民,0,0,11,1
A4区北辰附近幼儿园公办难进,0,0,11,1
A7县金科时代开发商购房收取服务费不明,0,0,11,1
反映A市公交233终点站设置问题,0,0,3,80.0
西地省夏华商品交易市场有限公司涉嫌金融交易诈骗,2,0,9,20.0
A市二环外也开始拥堵了,3,0,10,10.0
A3区仁和会计教育机构收学费不签合同不开发票，是否合法？,5,0,6,49.0
承办A市58车贷案警官应跟进关注留言,1554,0,2,8.0
请建设一个统一的A市公共交通手机app,1,0,7,38.0
请A4区教育局尽快落实发放原A市七中01年后退休教师的文明单位奖！,33,0,6,46.0
A市理工大学城南学院金融学今年学费怎么涨了2000元？,6,0,2,87.0
西地省科技职院欺骗学生收取高额学费，却不给相对应专业的毕业证书,2,0,2,87.0
“民生三问”A市住建委,6,0,6,47.0
希望A市地铁9号线能覆盖谷山体育公园以西片区,10,1,9,17.0
A2区新梅路万鑫嘉园小区垃圾就地处理，臭气熏天,0,0,4,67.0
A3区坪塘镇白泉村润泉山庄拖欠我们的工钱！,0,0,3,76.0
请整治A1区荷花园街道老屋园路的停车乱象,1,0,4,66.0
A2区瑞富苑未办齐相关出售许可证就强制业主收房！,0,0,5,56.0
A2区金石蓉园小区居民被工地上的噪音给弄得午饭正常休息,0,0,5,56.0
请求硬化A8县市流沙河镇罘罳村石塘组夸乡公路，方便群众出行,0,0,6,46.0
A3区业振城三期a组团开发商欺诈销售，房屋存在重大消防安全隐患,5,0,9,16.0
A4区东风一村50栋东面外墙排水管老化堵塞，外墙渗水至室内,0,0,8,26.0
西地省第一师范后勤处长住别墅，争夺业委会主任,7,0,3,75.0
A1区白沙路10号老百姓大药房为住改商,0,0,2,85.0
西地省楚江工贸技工学校涉嫌招生欺骗,7,1,8,25.0
A4区御景龙城的房产证何时发？,0,0,6,45.0
A3区楚仪路段禁停路段车辆乱停乱放，街面卫生急需整治,0,0,8,24.0
请加强对A市外籍从教人员的监管,4,1,4,63.0
A7县春华镇武塘村坝湾组入户路路边的树木杂草长到路上影响通行,0,0,5,53.0
A7县山水人家附近酒吧涉嫌酒托骗局,1,0,4,62.0
A7县农村户口迁入拆迁地区参与当地征收吗？,0,0,4,62.0
西地省加家车位不动产管理咨询公司车位违反合同法,0,0,4,62.0
请将A7县公交线路接入市区统一实时公交查询app的建议,26,1,10,1
C市户口迁移到A市的流程咨询,0,0,9,12.0
严惩A市58车贷特大集资诈骗案保护伞,790,0,6,1
A市润万滨江天著毛坯房有严重质量问题,16,2,10,1
A3区白云路何时能动工修建剩余的那段断头路,1,0,5,51.0
请给A4区山语城3期的业主修路,0,0,7,31.0
A4区普惠性幼儿园规划不能满足群众需求,5,0,10,1
A市地铁一号线北延线什么时候开工,5,0,10,1
长株潭一体化了，为何B市C市的老百姓不能再A市买房,5,0,10,1
A市旧城改造打造的街区石板太粗糙,5,0,10,1
A7县泉塘街道漓楚东路与东六路交汇处是否可以架设人行天桥？,4,0,10,1
A6区景城苑小区地下室存在严重的质量问题,3,0,10,1
A7县星沙时代星城小区内摆摊设点严重，到处都是煤气罐,3,0,10,1
A9市河旁一枝黄花泛滥,3,0,10,1
A7县新国道107距我家仅3米，相关政府部门为何不同意拆迁？,2,0,10,1
A市银星路和银杉路交叉口常年扬尘扰民，请加快雾霾整治力度,2,0,10,1
A市怡海星城经常长时间停水,2,0,10,1
A市公共交通系统要开发多少个支付系统,2,0,10,1
A7县松雅湖畔小区的电梯无人检修,2,0,10,1
给A市常规公交的几点建议,2,0,10,1
举报A7县青山铺镇政府107国道改道拆迁不合理，不公证,2,0,10,1
雷峰大道A市医学院附近会规划地铁站吗,2,0,10,1
A7县捂盘问题何时解决？,2,0,10,1
A3区金晖优步花园欺骗消费者,2,0,10,1
A4区六号线楚雅路地铁施工严重扰民,1,0,10,1
A7县M9县城三期22栋业主的困扰及生命财产安全隐患问题,1,0,10,1
A7县深业睿城小区f区地下车位是否计入公摊面积？,1,0,10,1
A3区岳北社区金域国际9栋顶层违建,1,0,10,1
A市地铁2号线能否延伸至梅溪西地省岸？,1,0,10,1
A1区远大一路辉煌国际城二期物业提供虚假场地证明，居民楼下商铺非法取证,1,0,10,1
坚决反对在A7县诺亚山林小区门口设置医院,1,0,10,1
坚决反对在A7县诺亚山林小区门口设置医院,1,0,10,1
投诉A市A6区万润滨江天著阻止准业主正常组合贷,1,0,10,1
A市恒大御景天下收房强收一年物业费是否霸王条款？,1,0,10,1
A市市直学校教师招聘考试不公平,1,0,10,1
A市805路公交车改道能不能走木莲中路,0,0,10,1
A市文昌阁地铁站施工严重扰民,0,0,10,1
A市悦湖山小区存在安全隐患,0,0,10,1
西地省师大附中星城实验学校第一小学周边常年交通混乱,0,0,10,1
A1区东岸街道为什么不公开征地补偿明细,0,0,10,1
A2区月塘路距怡海小区房子才10米，噪音和灰尘污染严重,0,0,10,1
A3区长房云时代博才小学旁建了垃圾站,0,0,10,1
A市润华燃气迟迟不给A6区新城国际花都四期业主开通燃气,0,0,10,1
A3区润泽园段记夜宵噪音油烟污染扰民为何没人管？,0,0,10,1
A1区马王堆街道新桥新村同鑫家园房屋漏水问题迟迟不解决,0,0,10,1
A8县人民医院旁一废品收购站污染严重,0,0,10,1
A市恒大御景半岛三期6栋电梯噪音巨大,0,0,10,1
A市郡长斑马湖中学违规补课,0,0,10,1
西地省农机局建别墅有何文件依据？,0,0,10,1
A市恒大御景天下二期设计有缺陷和安全隐患！,0,0,10,1
A7县107国道六角塘公交站处问题多多,0,0,10,1
A市星沙星湖湾二期“洋房”质量太差太差,0,0,10,1
咨询A7县恒大翡翠华庭小孩转学调剂问题,0,0,10,1
A市哈佛小镇物业非常差劲,0,0,10,1
为什么处理社保问题我得E市A市往返跑？,0,0,10,1
咨询A市参保职工生育津贴的问题,0,0,10,1
咨询A市园博家园建设进度问题,0,0,10,1
投诉A市德睿国际英语拖延退款,0,0,10,1
咨询A市楚税社保审核问题,0,0,10,1
坚决反对在A7县诺亚山林小区门口设置医院,0,0,10,1
A8县市星河湾楼盘质量太差了，多处都有断裂缝,0,0,10,1
A3区金茂房地产施工队长期半夜施工噪音扰民,0,0,10,1
A市咸嘉新村文明兴旺华的无证办学现象严重,0,0,10,1
再次反映A4区珠江花园酒店夜间噪音扰民的问题,0,0,10,1
西地省涉外经济学院变相强制学生“社会实践”,0,0,10,1
A市大道以北因未限制货车通行每天日夜货车扰民严重,0,0,10,1
A7县松雅小区停车难问题由来已久,0,2,10,1
A市黄花机场航道噪音污染请回复,0,0,10,1
投诉A市辛巴国际早教迟迟不退费,0,0,10,1
咨询A市幼儿园在筹设期间能否招生办学？,0,0,10,1
A4区广福园小区蓝鸟KTV噪音扰民,0,0,10,1
A市“九九社区联盟”涉嫌传销,0,0,10,1
举报A7县青山铺镇政府107国道改道拆迁不合理，不公证,0,0,10,1
请A3区协调解决旭辉御府业主子女入学问题,0,0,10,1
请取缔A3区金路小区1-4栋楼下夜宵门店的经营权,0,0,10,1
A1区老地方美食广场无消防手续正常营业四个月,0,0,10,1
